Tipo de encuesta;Nombre Encuesta;FechaFinParticipación;idParticipacion;FechaParticipacion;Marque NO, en caso de no querer realizar esta encuesta y querer darse de baja en la lista de distribución que se emplea para invitarle a participar en encuestas de satisfacción relacionadas con el servicio que presta la Biblioteca Musical Víctor Espinós.;¿Es usuario habitual?;¿Con qué frecuencia acude a la Biblioteca Musical Víctor Espinós?;¿Qué servicios de la Biblioteca Musical Víctor Espinós utiliza habitualmente? Seleccione todos los que utilice.;¿Qué documentos son los que más utiliza en la Biblioteca Musical Víctor Espinós? Seleccione todos los que utilice.;¿Ha utilizado el servicio de préstamo de documentos?;Queremos conocer qué opinión le merece el servicio de préstamo de documentos. Valore de 0 a 10, siendo 0 que está muy insatisfecho y 10, que está muy satisfecho.;¿Ha utilizado el Servicio de Reprografía de la Biblioteca Musical Víctor Espinós?;Queremos conocer qué opinión le merece el Servicio de Reprografía. Valore de 0 a 10, siendo 0 que está muy insatisfecho y 10, que está muy satisfecho;¿Ha participado en alguna actividad organizada por la Biblioteca Musical Víctor Espinós (conciertos, visitas guiadas, exposiciones, conferencias, talleres, presentaciones, etc.)?;¿Qué grado de satisfacción le merecen las actividades culturales? Puntúe de 0 a 10, siendo 0 que está muy insatisfecho y 10 que está muy satisfecho. (Opciones de selección única);¿Conoce la página web de la Biblioteca Musical Víctor Espinós?;La actualización de la información y los contenidos;Acceso al catálogo en línea;Búsquedas en el catálogo en línea;El edifico y las instalaciones;El trato recibido por el personal;El préstamo de instrumentos;La ordenación de la colección de libre acceso;La colección (libros, partituras, audiovisuales);La adecuación de la colección a sus necesidades;Tiempo de espera en la entrega de fondos ubicados en el depósito.;La información general y especializada recibida tras una consulta;El uso de la red wifi;Las condiciones de los pianos e instrumentos de las cabinas de ensayo;¿Cuál es su valoración general de la Biblioteca Musical Víctor Espinós y sus servicios? Valore de 0 a 10, siendo 0 que está muy insatisfecho y 10 que está muy satisfecho.;¿Qué tipo de material considera que se debería adquirir prioritariamente para mejorar el fondo de la Biblioteca Musical Víctor Espinós?(Seleccione todos los que considere necesarios).;"Si ha contestado ""Otros"" indiquemos cuáles.";De manera global, el servicio prestado por la Biblioteca Musical Víctor Espinós ha sido:;¿Qué medidas sugiere para mejorar la calidad de los servicios de la Biblioteca Musical Víctor Espinós del Ayuntamiento de Madrid?;¿En cuál de los siguientes grupos de edad se encuentra usted?;Gracias por su colaboración.;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190156;2021-11-23 12:55:51. 0;Iniciar la encuesta;Sí;Varias veces al año;"Servicio de préstamo (libros, partituras, audiovisuales);Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.)";"Partituras;Libros;Audiovisuales (dvd, cd)";No;;Sí;10;Sí;10;Sí;10;10;10;10;10;NS/NC;10;10;10;10;10;10;10;10;Partituras;;Mejor de lo que esperaba;esta todo genial, seguid asi!;De 30 a 44 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190166;2021-11-23 13:6:31. 0;Iniciar la encuesta;No;Varias veces al año;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo ;Servicio de información general y especializada";Partituras;Sí;10;No;;Sí;9;Sí;7;8;7;10;9;No sabe;8;9;8;NS/NC;9;5;6;10;"Partituras;Audiovisuales (dvd, cd)";;Mejor de lo que esperaba;;De 18 a 29 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190167;2021-11-23 13:8:19. 0;Iniciar la encuesta;Sí;Varias veces al año;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de información general y especializada";"Partituras;Libros";No;;No;;No;;Sí;8;7;5;9;10;No sabe;9;9;9;No sabe;10;No sabe;NS/NC;8;"Libros;Partituras";;Mejor de lo que esperaba;A rasgos generales es un centro que funciona muy bien y han sabido asesorarme para encontrar lo que buscaba.;De 30 a 44 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190170;2021-11-23 13:10:54. 0;Iniciar la encuesta;Sí;Varios días al mes;Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.);Audiovisuales (dvd, cd);Sí;5;No;;Sí;10;Sí;7;6;4;10;10;NS/NC;7;7;4;4;5;1;1;9;Audiovisuales (dvd, cd);;Igual que lo que esperaba;;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190172;2021-11-23 13:15:43. 0;Iniciar la encuesta;Sí;Varios días a la semana;Servicio de préstamo (libros, partituras, audiovisuales);"Partituras;Libros;Revistas especializadas;Colecciones especiales (programas de concierto, Quijotes musicales?)";Sí;10;No;;Sí;8;Sí;8;8;8;10;9;NS/NC;10;10;8;10;10;9;8;10;Partituras;;Mejor de lo que esperaba;Enriquecer el fondo de partituras para su consuta y de libros especializados en música sería maravilloso;De 30 a 44 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190181;2021-11-23 13:28:36. 0;Iniciar la encuesta;Sí;Ocasionalmente;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de préstamo de instrumentos musicales a domicilio";Libros;No;;No;;No;;Sí;8;9;9;6;10;9;NS/NC;7;6;No sabe;6;8;7;9;Otros;instrumentos;Mejor de lo que esperaba;;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190188;2021-11-23 13:32:56. 0;Iniciar la encuesta;No;Varias veces al año;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de préstamo de instrumentos musicales a domicilio;Servicio de información general y especializada;Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.)";"Partituras;Libros;Audiovisuales (dvd, cd);Revistas especializadas;Libros infantiles relacionados con la música;Colecciones especiales (programas de concierto, Quijotes musicales?)";Sí;9;No;;No;;Sí;8;9;10;9;10;9;9;NS/NC;9;9;9;8;8;9;"Partituras;Revistas especializadas;Libros infantiles relacionados con la música";;Mejor de lo que esperaba;;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190212;2021-11-23 14:21:13. 0;Iniciar la encuesta;Sí;Varias veces al año;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo";"Partituras;Libros infantiles relacionados con la música";Sí;10;Sí;3;No;;Sí;7;10;10;10;9;NS/NC;10;8;10;10;10;1;9;10;Partituras;;Mejor de lo que esperaba;;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190216;2021-11-23 14:27:19. 0;Iniciar la encuesta;No;Una vez al mes;Servicio de préstamo (libros, partituras, audiovisuales);"Partituras;Libros";No;;No;;No;;Sí;No sabe;10;10;10;10;NS/NC;10;No sabe;10;10;10;No sabe;No sabe;10;"Libros;Partituras;Revistas especializadas;Libros infantiles relacionados con la música";;Mejor de lo que esperaba;Más cabinas de ensayo. No todo el mundo tiene la posibilidad de estudiar en casa o en las instalaciones de una escuela o conservatorio;De 18 a 29 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190223;2021-11-23 14:34:19. 0;Iniciar la encuesta;No;Ocasionalmente;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de información general y especializada;Servicio de reproducción de documentos (fotocopias, digitalización)";"Partituras;Libros";Sí;10;Sí;10;No;;No;;;;10;10;No sabe;10;10;10;10;10;NS/NC;No sabe;10;"Libros;Partituras;Audiovisuales (dvd, cd);Revistas especializadas";;Igual que lo que esperaba;;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190227;2021-11-23 14:42:15. 0;Iniciar la encuesta;Sí;Varios días a la semana;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo";Partituras;No;;No;;No;;Sí;7;8;8;6;8;6;6;6;NS/NC;7;4;7;4;10;"Libros;Partituras";;Igual que lo que esperaba;;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190235;2021-11-23 15:9:47. 0;Iniciar la encuesta;No;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;Audiovisuales (dvd, cd);No;;No;;No;;No;;;;NS/NC;10;10;10;10;10;No sabe;9;9;9;10;"Libros;Libros infantiles relacionados con la música";;Mejor de lo que esperaba;;De 30 a 44 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190237;2021-11-23 15:12:36. 0;Iniciar la encuesta;Sí;Varios días al mes;Servicio de cabinas de ensayo;Partituras;No;;No;;No;;No;;;;8;8;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;NS/NC;9;8;"Libros;Partituras;Revistas especializadas";;Mejor de lo que esperaba;Ampliar el número de cabinas;Más de 65 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190238;2021-11-23 15:14:46. 0;Iniciar la encuesta;No;Ocasionalmente;Servicio de préstamo (libros, partituras, audiovisuales);Libros;No;;No;;No;;No;;;;8;8;No sabe;8;8;8;No sabe;No sabe;NS/NC;5;7;Libros;;Igual que lo que esperaba;Que los bibiliotecarios no hablen demasiado alto. Vi una queja sobre esto en internet y cuando estuve allí noté que efectivamente hablaban muy alto y más de lo necesario.;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190241;2021-11-23 15:25:30. 0;Iniciar la encuesta;Sí;Varias veces al año;Servicio de préstamo (libros, partituras, audiovisuales);"Partituras;Libros;Revistas especializadas";Sí;8;No;;No;;No;;;;7;8;5;5;6;5;NS/NC;5;1;5;7;"Libros;Partituras;Revistas especializadas;Libros infantiles relacionados con la música";;Igual que lo que esperaba;;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190246;2021-11-23 15:43:53. 0;Iniciar la encuesta;Sí;Ocasionalmente;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo ;Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.)";Libros;Sí;10;No;;No;;No;;;;10;NS/NC;10;7;10;10;10;10;No sabe;10;10;"Libros;Partituras;Revistas especializadas";;Mejor de lo que esperaba;;De 18 a 29 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190253;2021-11-23 16:21:51. 0;Iniciar la encuesta;No;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;NS/NC;No;;No;;No;;Sí;7;No sabe;No sabe;10;8;7;No sabe;9;7;No sabe;8;NS/NC;No sabe;8;Otros;Más variedad de instrumentos, en cuanto a tamaños o tipos según escala de afinación (trompas en Fa);Igual que lo que esperaba;;De 30 a 44 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190262;2021-11-23 16:47:1. 0;Iniciar la encuesta;No;Ocasionalmente;Servicio de cabinas de ensayo;Partituras;No;;No;;No;;Sí;8;8;8;8;8;8;8;8;8;8;7;7;NS/NC;8;Partituras;;Mejor de lo que esperaba;;De 45 a 64 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190266;2021-11-23 16:57:44. 0;Iniciar la encuesta;Sí;Una vez al mes;Servicio de préstamo (libros, partituras, audiovisuales);"Partituras;Libros";No;;No;;No;;Sí;10;10;10;10;10;No sabe;10;10;10;No sabe;10;NS/NC;No sabe;10;"Libros;Partituras;Audiovisuales (dvd, cd);Revistas especializadas";;Mejor de lo que esperaba;;Menos de 18 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190269;2021-11-23 17:8:29. 0;Iniciar la encuesta;No;Ocasionalmente;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo";Partituras;No;;No;;No;;Sí;8;No sabe;No sabe;10;10;No sabe;9;9;9;No sabe;9;9;NS/NC;9;"Libros;Partituras;Revistas especializadas";;Mejor de lo que esperaba;;De 18 a 29 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190274;2021-11-23 17:28:4. 0;Iniciar la encuesta;Sí;Varios días al mes;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo ;Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.)";"Partituras;Libros";No;;No;;Sí;10;No;;;;9;9;NS/NC;9;9;9;9;9;7;9;9;"Libros;Partituras";;Mejor de lo que esperaba;;De 30 a 44 años;NS/NC;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.0;190280;2021-11-23 18:8:26. 0;Iniciar la encuesta;Sí;Varios días a la semana;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo";"Partituras;Libros";No;;No;;Sí;9;Sí;9;9;No sabe;10;No sabe;No sabe;NS/NC;10;No sabe;No sabe;No sabe;No sabe;10;10;Partituras;;Mejor de lo que esperaba;;De 45 a 64 años;NS/NC;
