idEncuesta;Nombre Encuesta;FechaFinParticipación;idParticipacion;FechaParticipacion;Distrito;Edad;Nacionalidad;Sexo;Marque NO, en caso de no querer realizar esta encuesta y querer darse de baja en la lista de distribución que se emplea para invitarle a participar en encuestas de satisfacción relacionadas con el servicio que presta la Biblioteca Musical Víctor Espinós.;¿Es usuario habitual?;¿Con qué frecuencia acude a la Biblioteca Musical Víctor Espinós?;¿Qué servicios de la Biblioteca Musical Víctor Espinós utiliza habitualmente? Seleccione todos los que utilice.;¿Qué documentos son los que más utiliza en la Biblioteca Musical Víctor Espinós? Seleccione todos los que utilice.;¿Ha utilizado el servicio de préstamo de documentos?;Queremos conocer qué opinión le merece el servicio de préstamo de documentos. Valore de 0 a 10, siendo 0 que está muy insatisfecho y 10, que está muy satisfecho.;¿Ha utilizado el Servicio de Reprografía de la Biblioteca Musical Víctor Espinós?;Queremos conocer qué opinión le merece el Servicio de Reprografía. Valore de 0 a 10, siendo 0 que está muy insatisfecho y 10, que está muy satisfecho;¿Ha participado en alguna actividad organizada por la Biblioteca Musical Víctor Espinós (conciertos, visitas guiadas, exposiciones, conferencias, talleres, presentaciones, etc.)?;¿Qué grado de satisfacción le merecen las actividades culturales? Puntúe de 0 a 10, siendo 0 que está muy insatisfecho y 10 que está muy satisfecho. (Opciones de selección única);¿Conoce la página web de la Biblioteca Musical Víctor Espinós?;La actualización de la información y los contenidos;Acceso al catálogo en línea;Búsquedas en el catálogo en línea;El edifico y las instalaciones;El trato recibido por el personal;El préstamo de instrumentos;La ordenación de la colección de libre acceso;La colección (libros, partituras, audiovisuales);La adecuación de la colección a sus necesidades;Tiempo de espera en la entrega de fondos ubicados en el depósito.;La información general y especializada recibida tras una consulta;El uso de la red wifi;Las condiciones de los pianos e instrumentos de las cabinas de ensayo;¿Cuál es su valoración general de la Biblioteca Musical Víctor Espinós y sus servicios? Valore de 0 a 10, siendo 0 que está muy insatisfecho y 10 que está muy satisfecho.;¿Qué tipo de material considera que se debería adquirir prioritariamente para mejorar el fondo de la Biblioteca Musical Víctor Espinós?(Seleccione todos los que considere necesarios).;"Si ha contestado ""Otros"" indiquemos cuáles.";De manera global, el servicio prestado por la Biblioteca Musical Víctor Espinós ha sido:;¿Qué medidas sugiere para mejorar la calidad de los servicios de la Biblioteca Musical Víctor Espinós del Ayuntamiento de Madrid?;¿En cuál de los siguientes grupos de edad se encuentra usted?;Gracias por su colaboración.
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;206236;2022-11-11 0:9:47. 0;;;;;Iniciar la encuesta;No;Ocasionalmente;NS/NC;NS/NC;No;;No;;No;;Sí;5;5;5;8;7;7;No sabe, no contesta;No sabe, no contesta;No sabe, no contesta;No sabe, no contesta;No sabe, no contesta;No sabe, no contesta;NS/NC;7;NS/NC;;Peor de lo que esperaba;Hay personal muy atento en préstamo de instrumentos, pero otro no lo es tanto, y les falta información sobre los instrumentos de los que disponen, situación que hace que tal vez consigues un instrumento que el profesor de música dice que no es el adecuado para la enseñanza (algo que no puedes especificar en la solicitud), y a pesar de no utilizarlo ni un día tienes que buscar un Luthier para revisión del instrumento, pagar por el informe y desde la biblioteca te meten prisa en devolverlo;De 30 a 44 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205619;2022-10-24 10:14:2. 0;;;;;Iniciar la encuesta;No;Ocasionalmente;"Servicio de préstamo (libros, partituras, audiovisuales);Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.)";Partituras;Sí;7;No;;Sí;9;No;;;;9;5;No sabe, no contesta;8;8;8;No sabe, no contesta;No sabe, no contesta;NS/NC;No sabe, no contesta;7;"Libros;Partituras";;Igual que lo que esperaba;Horarios. Prestamo entre otras bibliotecas;De 45 a 64 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205764;2022-10-24 18:16:27. 0;;;;;Iniciar la encuesta;No;Varias veces al año;Servicio de préstamo (libros, partituras, audiovisuales);"Partituras;Libros";Sí;10;No;;No;;No;;;;8;10;No sabe, no contesta;8;8;9;No sabe, no contesta;7;9;NS/NC;9;"Partituras;Libros infantiles relacionados con la música";;Mejor de lo que esperaba;Impartir más formación sobre el archivo y el material de enseñanza musical al personal de la biblioteca.;De 30 a 44 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205785;2022-10-24 23:3:26. 0;;;;;Iniciar la encuesta;Sí;Varios días al mes;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo";Libros;No;;No;;No;;Sí;10;10;10;10;10;10;10;10;10;10;10;NS/NC;5;10;Revistas especializadas;;Mejor de lo que esperaba;La afinación de los pianos;De 45 a 64 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205665;2022-10-24 11:32:5. 0;;;;;Iniciar la encuesta;No;Ocasionalmente;Servicio de préstamo (libros, partituras, audiovisuales);Audiovisuales (dvd, cd);Sí;10;No;;No;;No;;;;10;10;NS/NC;7;7;No sabe, no contesta;5;8;No sabe, no contesta;No sabe, no contesta;9;Audiovisuales (dvd, cd);;Mejor de lo que esperaba;La única pega es que la gestión resultó lenta, a pesar de la amabilidad y el interés del personal en atender bien.;De 45 a 64 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205648;2022-10-24 11:12:39. 0;;;;;Iniciar la encuesta;No;Varias veces al año;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo";"Partituras;Revistas especializadas";No;;No;;No;;Sí;No sabe, no contesta;7;6;9;8;No sabe, no contesta;7;4;3;No sabe, no contesta;NS/NC;No sabe, no contesta;6;6;"Libros;Revistas especializadas";;Igual que lo que esperaba;Las cabinas de ensayo no se aprovechan todo lo que se podían aprovechar. Creo que es debido a que solamente se puede reservar en días alternos. De seguir con esta norma, al menos podrían alargar el tiempo que un usuario puede estar en una cabina. Por ejemplo, 2 horas... También sería estupendo la adquisición de más libros de temática especializada. Por ejemplo, pedagogía, teoría de otros estilos, etc...;De 30 a 44 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205659;2022-10-24 11:24:8. 0;;;;;Iniciar la encuesta;Sí;Varios días al mes;Servicio de préstamo (libros, partituras, audiovisuales);"Partituras;Libros";Sí;10;No;;Sí;10;Sí;10;10;10;10;10;No sabe, no contesta;10;10;10;10;10;10;NS/NC;10;Libros;;Mejor de lo que esperaba;las nuevas ediciones de los libros que tienen en la biblioteca suelen traer información más reciente o actualizada. Por ejemplo, falta el último libro de Historia de la música de españa e Hispanoamérica.;De 18 a 29 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205644;2022-10-24 11:7:28. 0;;;;;Iniciar la encuesta;Sí;Una vez al mes;Servicio de préstamo (libros, partituras, audiovisuales);Libros;Sí;9;No;;No;;Sí;7;7;5;7;6;No sabe, no contesta;7;NS/NC;6;6;5;No sabe, no contesta;No sabe, no contesta;8;"Libros;Partituras";;Mejor de lo que esperaba;Más libros sobre electroacústica y algún libro de Takemitsu;De 18 a 29 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;206953;2022-12-9 12:50:8. 0;;;;;Iniciar la encuesta;No;Ocasionalmente;"Servicio de préstamo de instrumentos musicales a domicilio;Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.)";Partituras;No;;No;;Sí;10;Sí;10;10;10;10;10;10;10;10;10;No sabe, no contesta;10;NS/NC;No sabe, no contesta;10;Otros;Un museo donde exponer tantísima variedad de instrumentos de todas las épocas.;Igual que lo que esperaba;Me reitero en lo del museo/exposición;De 45 a 64 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205637;2022-10-24 10:52:1. 0;;;;;Iniciar la encuesta;Sí;Varios días a la semana;Servicio de cabinas de ensayo;Partituras;No;;No;;Sí;4;Sí;5;5;5;4;6;NS/NC;5;5;4;4;6;1;2;3;Otros;Mantenimiento instrumentos;Peor de lo que esperaba;Mejor mantenimiento de las cabinas de ensayo, más salas con batería, más personal para que no se anulen las horas de ensayo en el torreón;De 45 a 64 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205737;2022-10-24 14:44:31. 0;;;;;Iniciar la encuesta;No;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;Libros;No;;No;;No;;No;;;;9;10;10;10;10;10;10;10;10;NS/NC;10;Libros infantiles relacionados con la música;;Mejor de lo que esperaba;Ninguna;De 30 a 44 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;206025;2022-11-4 9:17:23. 0;;;;;Iniciar la encuesta;No;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;Audiovisuales (dvd, cd);No;;No;;No;;No;;;;10;10;10;No sabe, no contesta;No sabe, no contesta;No sabe, no contesta;10;No sabe, no contesta;No sabe, no contesta;NS/NC;10;Otros;No se que elementos se pueden adquirir;Mejor de lo que esperaba;Ninguna;Menos de 18 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205769;2022-10-24 20:28:26. 0;;;;;Iniciar la encuesta;Sí;Varios días a la semana;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo ;Servicio de reproducción de documentos (fotocopias, digitalización)";"Partituras;Libros infantiles relacionados con la música";No;;No;;No;;Sí;5;6;6;8;4;No sabe, no contesta;NS/NC;8;8;No sabe, no contesta;No sabe, no contesta;No sabe, no contesta;8;7;"Partituras;Otros";Más instrumentos de préstamo;Igual que lo que esperaba;Permitir la reserva de cabinas de ensayo días consecutivos. Permitir clases en salas de ensayo. Más flexibilidad horaria.;De 45 a 64 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205693;2022-10-24 12:24:18. 0;;;;;Iniciar la encuesta;No;Varias veces al año;Servicio de préstamo (libros, partituras, audiovisuales);"Partituras;Libros";Sí;8;No;;No;;Sí;4;7;8;9;9;5;6;6;6;9;9;7;NS/NC;8;"Libros;Partituras";;Mejor de lo que esperaba;Poder reservar desde la web;De 45 a 64 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205840;2022-10-26 11:47:37. 0;;;;;Iniciar la encuesta;Sí;Varias veces al año;Servicio de préstamo de instrumentos musicales a domicilio;NS/NC;No;;No;;No;;No;;;;10;10;10;No sabe, no contesta;No sabe, no contesta;No sabe, no contesta;10;10;NS/NC;No sabe, no contesta;10;Otros;Instrumentos.;Mejor de lo que esperaba;Por ahora la Biblioteca cubre mis necesidades .;De 30 a 44 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205763;2022-10-24 17:48:25. 0;;;;;Iniciar la encuesta;Sí;Una vez al mes;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de información general y especializada";"Partituras;Libros";Sí;8;Sí;5;No;;Sí;6;4;4;9;8;No sabe, no contesta;8;9;7;8;6;No sabe, no contesta;NS/NC;8;"Libros;Partituras";;Mejor de lo que esperaba;Que el catálogo que está en depósito y es muy interesante y extenso. Se pudiese conocer mejor. es difícil el acceso con los ordenadores, la catalogación en muchos aspectos es antigua, con algunos problemas como los títulos en otros idiomas sin traducir.;De 30 a 44 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205708;2022-10-24 13:3:56. 0;;;;;Iniciar la encuesta;Sí;Varios días al mes;Servicio de préstamo (libros, partituras, audiovisuales);Audiovisuales (dvd, cd);No;;No;;No;;No;;;;8;8;No sabe, no contesta;No sabe, no contesta;7;6;No sabe, no contesta;No sabe, no contesta;No sabe, no contesta;NS/NC;7;Audiovisuales (dvd, cd);;Igual que lo que esperaba;que se aumente los fondos de cd s de préstamo con ediciones más modernas de jazz, folk, rock y cantautores;De 45 a 64 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205636;2022-10-24 10:50:54. 0;;;;;Iniciar la encuesta;Sí;Varios días a la semana;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo ;Servicio de información general y especializada;Servicio de reproducción de documentos (fotocopias, digitalización)";"Partituras;Audiovisuales (dvd, cd);Colecciones especiales (programas de concierto, Quijotes musicales?)";Sí;7;No;;No;;Sí;7;4;4;4;1;NS/NC;4;7;6;10;7;10;8;0;"Partituras;Otros";cambiar nuevo tecnico, quien no tiene modales, hace agreccion sobre clientes y quiere cambiar aura.;Peor de lo que esperaba;quitar de colectivo nuevo Tecnico, quien ha peorado total el servicio.;De 45 a 64 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205758;2022-10-24 17:14:26. 0;;;;;Iniciar la encuesta;Sí;Varios días al mes;Servicio de cabinas de ensayo;NS/NC;No;;No;;No;;Sí;8;9;8;9;9;No sabe, no contesta;No sabe, no contesta;No sabe, no contesta;No sabe, no contesta;No sabe, no contesta;No sabe, no contesta;NS/NC;No sabe, no contesta;9;Otros;Considero seria importante que todas las cabinas de ensayo tuvieran atril alguna de ellas no tiene;Mejor de lo que esperaba;seria interesante , ademas de asegurar que todas las cabinas tengan atril , la instalación de una percha en la pared;De 45 a 64 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205684;2022-10-24 12:3:56. 0;;;;;Iniciar la encuesta;Sí;Varios días a la semana;"Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo";Partituras;Sí;10;No;;No;;No;;;;9;10;No sabe, no contesta;9;9;9;No sabe, no contesta;NS/NC;9;9;9;"Partituras;Revistas especializadas;Libros infantiles relacionados con la música";;Mejor de lo que esperaba;Si es posible, aumentar el servicio de cabina a los sábados. Y permitir que si no hay solicitudes, se puedan utilizar cabinas en días contigüos. Muchas gracias;De 45 a 64 años;NS/NC
bfcc2d5e9acc0510VgnVCM2000000c205a0aRCRD;Encuesta de satisfacción 2022: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2022-12-16 00:00:00.0;205719;2022-10-24 13:35:46. 0;;;;;Iniciar la encuesta;Sí;Varios días al mes;Servicio de cabinas de ensayo;Audiovisuales (dvd, cd);No;;No;;Sí;10;Sí;10;10;10;10;10;NS/NC;10;10;10;10;10;No sabe, no contesta;9;10;"Partituras;Otros";Instrumentos para las cabinas de ensayos;Mejor de lo que esperaba;Simplemente que sigan como hasta ahora. Hacen un trabajo excepcional;De 45 a 64 años;NS/NC
